time;illuminance;Illuminance
9;615.3333333;N_Measured
10;673.5;N_Measured
11;685.25;N_Measured
12;703.75;N_Measured
13;626.25;N_Measured
14;487.25;N_Measured
15;428.5;N_Measured
16;276.75;N_Measured
17;96;N_Measured
9;614.3819703;N_Simulated
10;624.3718857;N_Simulated
11;567.2679685;N_Simulated
12;522.7319049;N_Simulated
13;521.3879836;N_Simulated
14;524.9461092;N_Simulated
15;471.9977636;N_Simulated
16;341.4674182;N_Simulated
17;161.4784909;N_Simulated
9;184;F_Measured
10;206.5;F_Measured
11;210;F_Measured
12;222.5;F_Measured
13;183.75;F_Measured
14;156.25;F_Measured
15;135.75;F_Measured
16;83.75;F_Measured
17;19.75;F_Measured
9;382.666054;F_Simulated
10;398.3639853;F_Simulated
11;372.5644297;F_Simulated
12;348.3246506;F_Simulated
13;342.6925952;F_Simulated
14;335.4839877;F_Simulated
15;294.6571416;F_Simulated
16;211.0885086;F_Simulated
17;99.40357063;F_Simulated
