rank;index_value;Index
1;0.46;MBE
2;0.33;MBE
3;1.76;MBE
4;2.43;MBE
5;2.33;MBE
6;0.52;MBE
7;-0.05;MBE
8;1.47;MBE
9;-0.30;MBE
10;-0.29;MBE
11;2.50;MBE
12;-0.03;MBE
13;-0.97;MBE
14;1.92;MBE
15;3.28;MBE
16;-1.63;MBE
17;2.51;MBE
18;3.87;MBE
19;-1.67;MBE
20;-2.13;MBE
21;4.20;MBE
22;-2.16;MBE
23;4.24;MBE
24;-2.66;MBE
25;4.49;MBE
26;4.43;MBE
27;4.43;MBE
28;-3.11;MBE
29;4.92;MBE
30;5.02;MBE
31;4.84;MBE
32;5.14;MBE
33;4.16;MBE
34;5.43;MBE
35;5.49;MBE
36;4.79;MBE
37;5.36;MBE
38;5.22;MBE
39;4.53;MBE
40;5.50;MBE
41;5.60;MBE
42;6.41;MBE
43;5.81;MBE
44;6.71;MBE
45;6.98;MBE
46;6.86;MBE
47;7.20;MBE
48;7.15;MBE
49;7.43;MBE
50;7.29;MBE
51;7.44;MBE
52;7.57;MBE
53;6.68;MBE
54;7.32;MBE
55;7.77;MBE
56;7.60;MBE
57;8.02;MBE
58;8.21;MBE
59;8.45;MBE
60;8.43;MBE
61;8.66;MBE
62;9.01;MBE
63;9.18;MBE
64;9.25;MBE
65;9.33;MBE
66;9.07;MBE
67;9.44;MBE
68;9.57;MBE
69;9.61;MBE
70;9.72;MBE
71;9.76;MBE
72;9.68;MBE
73;10.09;MBE
74;10.19;MBE
75;10.42;MBE
76;10.55;MBE
77;10.10;MBE
1;29.42;CV RMSE
2;29.47;CV RMSE
3;29.09;CV RMSE
4;28.98;CV RMSE
5;29.09;CV RMSE
6;29.95;CV RMSE
7;30.00;CV RMSE
8;29.74;CV RMSE
9;30.16;CV RMSE
10;30.22;CV RMSE
11;29.35;CV RMSE
12;30.33;CV RMSE
13;30.20;CV RMSE
14;29.80;CV RMSE
15;28.94;CV RMSE
16;30.19;CV RMSE
17;30.19;CV RMSE
18;28.88;CV RMSE
19;30.74;CV RMSE
20;30.83;CV RMSE
21;28.88;CV RMSE
22;30.87;CV RMSE
23;28.88;CV RMSE
24;30.66;CV RMSE
25;28.74;CV RMSE
26;29.04;CV RMSE
27;29.08;CV RMSE
28;30.64;CV RMSE
29;28.76;CV RMSE
30;28.86;CV RMSE
31;29.26;CV RMSE
32;28.95;CV RMSE
33;30.45;CV RMSE
34;28.83;CV RMSE
35;28.77;CV RMSE
36;30.15;CV RMSE
37;29.32;CV RMSE
38;29.59;CV RMSE
39;30.68;CV RMSE
40;29.44;CV RMSE
41;29.37;CV RMSE
42;28.64;CV RMSE
43;30.36;CV RMSE
44;28.90;CV RMSE
45;28.60;CV RMSE
46;28.95;CV RMSE
47;28.63;CV RMSE
48;28.83;CV RMSE
49;28.82;CV RMSE
50;29.19;CV RMSE
51;28.99;CV RMSE
52;28.81;CV RMSE
53;30.77;CV RMSE
54;29.52;CV RMSE
55;28.78;CV RMSE
56;29.51;CV RMSE
57;28.70;CV RMSE
58;28.75;CV RMSE
59;28.78;CV RMSE
60;29.15;CV RMSE
61;29.15;CV RMSE
62;28.91;CV RMSE
63;28.85;CV RMSE
64;28.97;CV RMSE
65;29.24;CV RMSE
66;30.02;CV RMSE
67;29.30;CV RMSE
68;29.14;CV RMSE
69;29.11;CV RMSE
70;29.06;CV RMSE
71;29.32;CV RMSE
72;29.63;CV RMSE
73;29.23;CV RMSE
74;29.13;CV RMSE
75;29.15;CV RMSE
76;29.26;CV RMSE
77;30.99;CV RMSE
