five;six;seven;eight;nine;temp
1.190016339;1.1;1;0.901549469;0.7999908;27.23
1.193504095;1.1;1;0.898568917;0.792785578;26.73
1.203448197;1.1;1;0.891967134;0.779870677;26.13
1.219623189;1.11;1;0.88226148;0.76036214;25.28
1.241181401;1.12;1;0.870688094;0.736462031;24.38
1.247101059;1.13;1;0.867157677;0.728932707;24.47
1.230551084;1.12;1;0.87718984;0.74939667;25.50
1.220180432;1.11;1;0.908866381;0.822884914;26.82
1.131338157;1.07;1;0.90510003;0.816377087;27.98
1.119786329;1.07;1;0.917963785;0.847647349;28.98
1.119577996;1.07;1;0.925962555;0.854544785;29.81
1.121604858;1.07;1;0.929339732;0.857935929;30.39
1.134182488;1.07;1;0.921656081;0.843434177;30.72
1.124259864;1.07;1;0.924977334;0.845007577;30.80
1.107135492;1.05;1;0.936338269;0.865922815;30.63
1.111140177;1.06;1;0.93963735;0.872895943;30.27
1.129812682;1.06;1;0.931995409;0.857937122;29.87
1.114281971;1.06;1;0.937377731;0.866300072;29.53
1.120414151;1.06;1;0.939091321;0.875250007;29.23
1.13426889;1.07;1;0.930962288;0.861039482;28.93
1.155788716;1.08;1;0.919307919;0.838009526;28.63
1.172674117;1.09;1;0.910403057;0.820706701;28.33
1.178602635;1.09;1;0.907125137;0.814613389;28.03
1.183785481;1.09;1;0.904672278;0.808859749;27.78
